,RaceID,Source,Source Link,Office,Contributor Name,ContributorID,Turnout,Type,Term Start_date,Term Start Year,Term Start Month,Term End_date,Term End Year,Term End Month,Polls Close_date,Poll Year,Poll Month,State,County_x,City,Term Length,County_y,web,state,city,CityID
0,689043, , http://www.summitcountyboe.com/ElectionResults/Results/elec1199.txt, Mayor, RBH,1989,,,2000-01-03,2000.0,1.0,2004-01-03,2004.0,1.0,1999-11-02,1999.0,11.0, Ohio , Summit , Akron ,4.0, Summit ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=803969,Ohio,Akron,118.0
1,102753, Summit County Board of Elections , http://www.electionsonthe.net/oh/summit/, Mayor, ...,662,17.57, General Election,2004-01-12,2004.0,1.0,2008-01-14,2008.0,1.0,2003-11-04,2003.0,11.0, Ohio , Summit , Akron ,4.0, Summit ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=803969,Ohio,Akron,118.0
2,362289, , http://www.summitcountyboe.com/ElectionResults/Results/elec110607.htm, Mayor, None Entered,1796,7.32, General Election,2008-01-03,2008.0,1.0,2012-01-03,2012.0,1.0,2007-11-06,2007.0,11.0, Ohio , Summit , Akron ,4.0, Summit ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=803969,Ohio,Akron,118.0
3,745054, , http://www.summitcountyboe.com/ElectionResults/Results/elect091311P.htm, Mayor, 00,8014,10.95, Democratic Primary Election,2012-01-03,2012.0,1.0,2016-01-03,2016.0,1.0,2011-09-13,2011.0,9.0, Ohio , Summit , Akron ,4.0, Summit ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=803969,Ohio,Akron,118.0
4,745055, , http://www.summitcountyboe.com/ElectionResults/Results/elect091311P.htm, Mayor, 00,8014,0.77, Republican Primary Election,2012-01-03,2012.0,1.0,2016-01-03,2016.0,1.0,2011-09-13,2011.0,9.0, Ohio , Summit , Akron ,4.0, Summit ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=803969,Ohio,Akron,118.0
5,745056, , http://www.summitcountyboe.com/ElectionResults/Results/elect110811G.htm, Mayor, 00,8014,21.72, General Election,2012-01-03,2012.0,1.0,2015-05-31,2015.0,5.0,2011-11-08,2011.0,11.0, Ohio , Summit , Akron ,3.0, Summit ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=803969,Ohio,Akron,118.0
6,803969, , , Mayor, RP,1,,,2015-06-01,2015.0,6.0,2015-06-10,2015.0,6.0,2015-06-01,2015.0,6.0, Ohio , Summit , Akron ,0.0, Summit ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=803969,Ohio,Akron,118.0
7,457673, Times-Union 11/3/93, , Mayor, nystate63,1087,,,1994-01-01,1994.0,1.0,1998-01-01,1998.0,1.0,1993-11-02,1993.0,11.0, New York , Albany , Albany ,4.0, Albany ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=790534,new york,albany,318.0
8,457672, Times-Union 11/6/97, , Mayor, nystate63,1087,,,1998-01-01,1998.0,1.0,2002-01-01,2002.0,1.0,1997-11-04,1997.0,11.0, New York , Albany , Albany ,4.0, Albany ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=790534,new york,albany,318.0
9,526334, Albany Times-Union 9/10/97, , Mayor, nystate63,1087,,,1998-01-01,1998.0,1.0,2002-01-01,2002.0,1.0,1997-09-09,1997.0,9.0, New York , Albany , Albany ,4.0, Albany ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=790534,new york,albany,318.0
10,457671, Times-Union 11/8/2001, , Mayor, nystate63,1087,18.78, General Election,2002-01-01,2002.0,1.0,2006-01-01,2006.0,1.0,2001-11-06,2001.0,11.0, New York , Albany , Albany ,4.0, Albany ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=790534,new york,albany,318.0
11,373184, , http://www.albanycounty.com/Departments/elections/default.asp, Mayor, nystate63,1087,23.4, General Election,2006-01-01,2006.0,1.0,2010-01-01,2010.0,1.0,2005-11-08,2005.0,11.0, New York , Albany , Albany ,4.0, Albany ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=790534,new york,albany,318.0
12,554833, , http://www.albanycounty.com/electionResults/_pdf/20050913_recanvass.PDF, Mayor, RBH,1989,15.64, Democratic Primary Election,2006-01-01,2006.0,1.0,2010-01-01,2010.0,1.0,2005-09-13,2005.0,9.0, New York , Albany , Albany ,4.0, Albany ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=790534,new york,albany,318.0
