,State,County,City,web,state,city,CityID
0, New York , New York City , New York City ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=613722, New York,New York city,0.0
1, California , Los Angeles , Los Angeles ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=785208, California,Los Angeles,1.0
2, Illinois , Cook , Chicago ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=795343, Illinois,Chicago,2.0
3, Texas , Harris , Houston ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=808081,Texas,Houston,3.0
4, Pennsylvania , Philadelphia , Philadelphia ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=787336,Pennsylvania,Philadelphia,4.0
5, Arizona , Maricopa , Phoenix ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=808555,Arizona,Phoenix,5.0
6, Texas , Bexar , San Antonio ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=804003,Texas,San Antonio,6.0
7, California , San Diego , San Diego ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=815829,California,San Diego,7.0
8, Texas , Dallas , Dallas ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=800343,Texas,Dallas,8.0
9, California , Santa Clara , San Jose ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=800299,California,San Jose,9.0
10, Texas , Travis , Austin ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=795576,Texas,Austin,10.0
11, Florida , Duval , Jacksonville ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=800137,Florida,Jacksonville,11.0
12, California , San Francisco , San Francisco ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=806371,California,San Francisco,12.0
13, Indiana , Marion , Indianapolis ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=798622,Indiana,Indianapolis,13.0
14, Ohio , Franklin , Columbus ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=796322,Ohio,Columbus,14.0
15, Texas , Tarrant , Fort Worth ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=786267,Texas,Fort Worth,15.0
16, North Carolina , Mecklenburg , Charlotte ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=806609,North Carolina,Charlotte,16.0
17, Washington , King , Seattle ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=791044,Washington,Seattle,17.0
18, Colorado , Denver , Denver ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=805060,Colorado,Denver,18.0
19, Texas , El Paso , El Paso ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=787568,Texas,El Paso,19.0
20, Michigan , Wayne , Detroit ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=789978,Michigan,Detroit,20.0
21,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=741626,District of Columbia,Washington,21.0
22, Massachusetts , Suffolk , Boston ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=791757,Massachusetts,Boston,22.0
23, Tennessee , Shelby , Memphis ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=796324,Tennessee,Memphis,23.0
24, Tennessee , Davidson , Nashville ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=806549,Tennessee,Nashville,24.0
25,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=810575,Oregon,Portland,25.0
26, Oklahoma , Oklahoma , Oklahoma City ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=799024,Oklahoma,Oklahoma City,26.0
27, Nevada , Clark , Las Vegas ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=800806,Nevada,Las Vegas,27.0
28, Maryland , Baltimore City , Baltimore City ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=745589,Maryland,Baltimore,28.0
29, Kentucky , Jefferson , Louisville Metro ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=800843,Kentucky,Louisville,29.0
